number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_grow_policy,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,params_tree_method,state
90,0.5989093299019085,2026-04-16 13:53:17.875343,2026-04-16 13:53:19.720083,0 days 00:00:01.844740,0.8690126956961088,4.990974697801979,depthwise,0.012351516132547312,2,2.299571346245285,325,0.001316927725593886,0.009565348073755846,0.8607878955787069,hist,COMPLETE
91,0.6149149665857246,2026-04-16 13:53:19.720245,2026-04-16 13:53:20.808612,0 days 00:00:01.088367,0.8745385384648152,4.869375341831823,depthwise,0.015074700277519086,1,2.1190555242487106,250,0.00466148668959459,0.00855314327828256,0.8878165928264166,hist,COMPLETE
92,0.626365243950304,2026-04-16 13:53:20.808756,2026-04-16 13:53:21.698486,0 days 00:00:00.889730,0.8748957165445191,5.22673312238049,depthwise,0.01500928578679166,1,2.4203929594670277,200,0.004046791848306051,0.008603671423621955,0.8786030529148047,hist,COMPLETE
93,0.6180322910218029,2026-04-16 13:53:21.698630,2026-04-16 13:53:22.526809,0 days 00:00:00.828179,0.7441429030582876,4.829584507530331,depthwise,0.011936368299355455,1,2.419654891077643,200,0.003654367876697973,0.008803053078001352,0.88863541408237,hist,COMPLETE
94,0.6202893409763994,2026-04-16 13:53:22.526955,2026-04-16 13:53:23.337483,0 days 00:00:00.810528,0.708345555276992,4.857711767809919,depthwise,0.015083179360946532,1,2.579727080103851,200,0.0038426819412841736,0.00859200311413557,0.8908268688246807,hist,COMPLETE
95,0.619489507400733,2026-04-16 13:53:23.337628,2026-04-16 13:53:24.144121,0 days 00:00:00.806493,0.7096503589088926,4.850991329563871,depthwise,0.011909024328266907,1,2.5709189444781,200,0.004383137112006268,0.007891298137910533,0.8990758243533196,hist,COMPLETE
96,0.6187085882650354,2026-04-16 13:53:24.144253,2026-04-16 13:53:24.949244,0 days 00:00:00.804991,0.7083895372387148,5.262390184143544,depthwise,0.01203667381826565,1,2.6389884905085426,200,0.0067496220892944514,0.01438777864245484,0.897921597837244,hist,COMPLETE
97,0.5879477253347578,2026-04-16 13:53:24.949376,2026-04-16 13:53:26.016369,0 days 00:00:01.066993,0.7102196826968546,5.2163941539514695,depthwise,0.01067907196022584,2,2.652123542899018,175,0.006494314398806518,0.0068258183204578105,0.8985563666763131,hist,COMPLETE
98,0.6150293321420467,2026-04-16 13:53:26.016514,2026-04-16 13:53:26.589395,0 days 00:00:00.572881,0.7350929099651535,5.292353493796042,depthwise,0.012030863134119815,1,2.551385439565482,125,0.003761502675280375,0.01649558905798866,0.8884375513164757,hist,COMPLETE
99,0.5941826875555927,2026-04-16 13:53:26.589542,2026-04-16 13:53:27.021920,0 days 00:00:00.432378,0.7461776216920586,5.467298690635185,depthwise,0.014769735611772552,2,2.3848998232172653,50,0.004771642925417681,0.005618867651829334,0.8969351701095568,hist,COMPLETE
100,0.6147488155187786,2026-04-16 13:53:27.022052,2026-04-16 13:53:27.826355,0 days 00:00:00.804303,0.7238132279377,4.822427388162638,depthwise,0.010158414495122378,1,2.978622880350436,200,0.006657525184915621,0.014321986617116079,0.8918185658033515,hist,COMPLETE
101,0.6144313531828398,2026-04-16 13:53:27.826482,2026-04-16 13:53:28.404798,0 days 00:00:00.578316,0.7118598536618949,5.28840767460146,depthwise,0.016130452620892088,1,2.5825115589368215,125,0.0037959960131479127,0.008598958222973579,0.8873158272355846,hist,COMPLETE
102,0.6121400306095461,2026-04-16 13:53:28.404944,2026-04-16 13:53:28.989992,0 days 00:00:00.585048,0.7333727522903992,5.552921226070565,depthwise,0.011937488642210498,1,2.7421341302396374,125,0.0032757778117998675,0.016132626078039298,0.8953408926906457,hist,COMPLETE
103,0.6118071484626049,2026-04-16 13:53:28.990115,2026-04-16 13:53:29.491190,0 days 00:00:00.501075,0.7363696536997565,5.1085482316560205,depthwise,0.013608072772790844,1,2.5113343004490774,100,0.00285337685676517,0.020218910217783322,0.8879996802611835,hist,COMPLETE
104,0.6243755577044798,2026-04-16 13:53:29.491334,2026-04-16 13:53:30.553661,0 days 00:00:01.062327,0.7013474903845969,4.953445381026345,depthwise,0.011335194235110126,1,2.417848223759579,275,0.004331133005855162,0.011345812946847101,0.8994192375744807,hist,COMPLETE
105,0.6185577794464749,2026-04-16 13:53:30.553795,2026-04-16 13:53:31.534864,0 days 00:00:00.981069,0.701497202342613,4.9865701029239204,depthwise,0.011126338625517828,1,2.393169410440522,250,0.011133397952888794,0.011245419689285557,0.8997828237934384,hist,COMPLETE
106,0.6167357876445803,2026-04-16 13:53:31.535017,2026-04-16 13:53:32.523099,0 days 00:00:00.988082,0.700694469214178,4.855634971215383,depthwise,0.011167207641084522,1,2.373477356102388,250,0.007684085427933475,0.006628076408126531,0.8995656885314641,hist,COMPLETE
107,0.5888106083729641,2026-04-16 13:53:32.523236,2026-04-16 13:53:33.598606,0 days 00:00:01.075370,0.7003689273385629,4.971330871223128,depthwise,0.011021442533443445,2,2.4239680915538,175,0.010926086323860997,0.011235253374794118,0.8988922876476734,hist,COMPLETE
