number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_grow_policy,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,params_tree_method,state
25,0.6942943986160024,2026-04-16 13:55:18.073899,2026-04-16 13:55:18.642674,0 days 00:00:00.568775,0.7985035387637728,4.893415877991789,depthwise,0.02077006447411961,4,4.568186220708453,1950,0.5803036163718746,0.055940986385379865,0.8153807769252718,hist,COMPLETE
26,0.6760417532219398,2026-04-16 13:55:18.642831,2026-04-16 13:55:19.149476,0 days 00:00:00.506645,0.8829728780440897,4.936416887721503,depthwise,0.017948038132577032,3,1.0972638657258154,1475,0.004128908967227584,1.8624667699955728,0.8907857154005174,hist,COMPLETE
27,0.5845347856610127,2026-04-16 13:55:19.149620,2026-04-16 13:55:19.195842,0 days 00:00:00.046222,0.777019545720385,5.899964457131009,depthwise,0.030310114166357094,10,2.7127365932692573,75,2.2419375129121226,0.9247350269763911,0.7588897784139171,hist,COMPLETE
28,0.7305466309163297,2026-04-16 13:55:19.195953,2026-04-16 13:55:19.408634,0 days 00:00:00.212681,0.823001445339834,5.808464322482343,depthwise,0.1280425574914764,2,3.2272050498334006,675,0.2631358372315448,0.09597802545737755,0.7194352987541537,hist,COMPLETE
29,0.6903180580884987,2026-04-16 13:55:19.408760,2026-04-16 13:55:19.518839,0 days 00:00:00.110079,0.7587183688528987,5.222305853262613,depthwise,0.1941287044914516,6,4.509492287711822,325,0.2652212074424625,0.2770909486641259,0.771898230243951,hist,COMPLETE
30,0.7213195580125685,2026-04-16 13:55:19.518956,2026-04-16 13:55:19.983089,0 days 00:00:00.464133,0.8403933754515407,4.534027196582813,depthwise,0.1129804084827374,9,4.652962210225885,1625,0.05544124417349646,0.5967179942151559,0.829992786155553,hist,COMPLETE
31,0.7626475461129958,2026-04-16 13:55:19.983249,2026-04-16 13:55:20.515016,0 days 00:00:00.531767,0.8085289269415153,3.281945819522607,depthwise,0.10848011408732297,4,2.502331810559776,1800,0.1025062083372346,0.0013334466485242658,0.793119603626492,hist,COMPLETE
32,0.7488631901115349,2026-04-16 13:55:20.515171,2026-04-16 13:55:20.892036,0 days 00:00:00.376865,0.8539987106197222,5.467801681978974,depthwise,0.023593847283130732,1,1.1493927549968577,1200,0.017882430053916012,0.0027656983409526043,0.8044486520109608,hist,COMPLETE
33,0.7508574247609033,2026-04-16 13:55:20.892185,2026-04-16 13:55:21.305825,0 days 00:00:00.413640,0.8951704158925069,4.594063894704444,depthwise,0.019089283616144762,1,1.2067268846744308,1275,0.0758322378429717,0.16459667540372633,0.8452182667445323,hist,COMPLETE
34,0.7226155883583244,2026-04-16 13:55:21.305960,2026-04-16 13:55:21.540412,0 days 00:00:00.234452,0.8671960241024412,4.316914262116908,depthwise,0.04695936762809009,8,2.083329005048297,675,0.001874141385960667,0.0012250324946592721,0.8925296829355851,hist,COMPLETE
